education,income,belief,age,personality,response,real_pct
bachelor,high-income,neutral,young adult,open-minded,Yes,0
bachelor,high-income,neutral,young adult,open-minded,Yes,10
bachelor,high-income,neutral,young adult,open-minded,Yes,20
bachelor,high-income,neutral,young adult,open-minded,Yes,30
bachelor,high-income,neutral,young adult,open-minded,Yes,40
bachelor,high-income,neutral,young adult,open-minded,Yes,50
bachelor,high-income,neutral,young adult,open-minded,Yes,60
bachelor,high-income,neutral,young adult,open-minded,Yes,70
bachelor,high-income,neutral,young adult,open-minded,Yes,80
bachelor,high-income,neutral,young adult,open-minded,Yes,90
bachelor,high-income,neutral,young adult,open-minded,Yes,100
bachelor,middle-income,neutral,young adult,anxious,No,0
bachelor,middle-income,neutral,young adult,anxious,No,10
bachelor,middle-income,neutral,young adult,anxious,No,20
bachelor,middle-income,neutral,young adult,anxious,No,30
bachelor,middle-income,neutral,young adult,anxious,No,40
bachelor,middle-income,neutral,young adult,anxious,No,50
bachelor,middle-income,neutral,young adult,anxious,No,60
bachelor,middle-income,neutral,young adult,anxious,No,70
bachelor,middle-income,neutral,young adult,anxious,No,80
bachelor,middle-income,neutral,young adult,anxious,No,90
bachelor,middle-income,neutral,young adult,anxious,No,100
bachelor,middle-income,neutral,young adult,open-minded,No,0
bachelor,middle-income,neutral,young adult,open-minded,No,10
bachelor,middle-income,neutral,young adult,open-minded,No,20
bachelor,middle-income,neutral,young adult,open-minded,No,30
bachelor,middle-income,neutral,young adult,open-minded,No,40
bachelor,middle-income,neutral,young adult,open-minded,No,50
bachelor,middle-income,neutral,young adult,open-minded,No,60
bachelor,middle-income,neutral,young adult,open-minded,No,70
bachelor,middle-income,neutral,young adult,open-minded,No,80
bachelor,middle-income,neutral,young adult,open-minded,No,90
bachelor,middle-income,neutral,young adult,open-minded,No,100
bachelor,middle-income,neutral,young adult,anxious,Yes,0
bachelor,middle-income,neutral,young adult,anxious,Yes,0
bachelor,middle-income,neutral,young adult,anxious,Yes,0
bachelor,middle-income,neutral,young adult,anxious,Yes,0
bachelor,middle-income,neutral,young adult,anxious,Yes,0
bachelor,middle-income,neutral,young adult,anxious,No,10
bachelor,middle-income,neutral,young adult,anxious,No,10
bachelor,middle-income,neutral,young adult,anxious,No,10
bachelor,middle-income,neutral,young adult,anxious,Yes,10
bachelor,middle-income,neutral,young adult,anxious,Yes,10
bachelor,middle-income,neutral,young adult,anxious,Yes,20
bachelor,middle-income,neutral,young adult,anxious,Yes,20
bachelor,middle-income,neutral,young adult,anxious,Yes,20
bachelor,middle-income,neutral,young adult,anxious,Yes,20
bachelor,middle-income,neutral,young adult,anxious,No,20
bachelor,middle-income,neutral,young adult,anxious,Yes,30
bachelor,middle-income,neutral,young adult,anxious,Yes,30
bachelor,middle-income,neutral,young adult,anxious,Yes,30
bachelor,middle-income,neutral,young adult,anxious,Yes,30
bachelor,middle-income,neutral,young adult,anxious,Yes,30
bachelor,middle-income,neutral,young adult,anxious,Yes,40
bachelor,middle-income,neutral,young adult,anxious,Yes,40
bachelor,middle-income,neutral,young adult,anxious,Yes,40
bachelor,middle-income,neutral,young adult,anxious,Yes,40
bachelor,middle-income,neutral,young adult,anxious,Yes,40
bachelor,middle-income,neutral,young adult,anxious,Yes,50
bachelor,middle-income,neutral,young adult,anxious,Yes,50
bachelor,middle-income,neutral,young adult,anxious,Yes,50
bachelor,middle-income,neutral,young adult,anxious,Yes,50
bachelor,middle-income,neutral,young adult,anxious,Yes,50
bachelor,middle-income,neutral,young adult,anxious,Yes,60
bachelor,middle-income,neutral,young adult,anxious,Yes,60
bachelor,middle-income,neutral,young adult,anxious,No,60
bachelor,middle-income,neutral,young adult,anxious,Yes,60
bachelor,middle-income,neutral,young adult,anxious,Yes,60
bachelor,middle-income,neutral,young adult,anxious,Yes,70
bachelor,middle-income,neutral,young adult,anxious,No,70
bachelor,middle-income,neutral,young adult,anxious,Yes,70
bachelor,middle-income,neutral,young adult,anxious,Yes,70
bachelor,middle-income,neutral,young adult,anxious,Yes,70
bachelor,middle-income,neutral,young adult,anxious,Yes,80
bachelor,middle-income,neutral,young adult,anxious,Yes,80
bachelor,middle-income,neutral,young adult,anxious,Yes,80
bachelor,middle-income,neutral,young adult,anxious,Yes,80
bachelor,middle-income,neutral,young adult,anxious,No,80
bachelor,middle-income,neutral,young adult,anxious,Yes,90
bachelor,middle-income,neutral,young adult,anxious,Yes,90
bachelor,middle-income,neutral,young adult,anxious,No,90
bachelor,middle-income,neutral,young adult,anxious,No,90
bachelor,middle-income,neutral,young adult,anxious,Yes,90
bachelor,middle-income,neutral,young adult,anxious,Yes,100
bachelor,middle-income,neutral,young adult,anxious,No,100
bachelor,middle-income,neutral,young adult,anxious,Yes,100
bachelor,middle-income,neutral,young adult,anxious,Yes,100
bachelor,middle-income,neutral,young adult,anxious,Yes,100
